definir_nombre_tournois 5
Mertens Kenin
Brady Putintseva
Osaka Rogers
SWilliams Pironkova
Azarenka Mertens
Osaka Brady
Azarenka SWilliams
Osaka Azarenka
enregistrement_tournoi Melbourne 2021
Barty Kovinic
Gavrilova Sorribes
Krejcikova Zheng
Alexandrova Trevisan
Kontaveit Sasnovich
Watson KrPliskova
Jones Rogers
Danilovic Martic
Bencic Davis
Kuznetsova Strycova
Zhu Osuigwe
Mertens Fernandez
Muchova Ostapenko
Barthel Cocciaretto
Collins Bogdan
KaPliskova Paolini
Kenin Inglis
Kanepi Sevastova
Podoroska McHale
Vekic YWang
Brady Bolsova
Brengle Rodionova
Sherif Paquet
Juvan Konta
Pegula Azarenka
Stosur Aiava
Hibino Sharma
Mladenovic Sakkari
Putintseva Stephens
Uytvanck Burel
Gauff Teichmann
Svitolina Bouzkova
Andreescu Buzarnescu
Hsieh Pironkova
VWilliams Flipkens
Errani QWang
Vondrousova Peterson
Marino Birrell
Cirstea Tig
Kvitova Minnen
Muguruza Gasparyan
Samsonova Badosa
Diyas Zidansek
Pera Kerber
Jabeur Petkovic
Schmiedlova Hibi
Garcia Hercog
Osaka Pavlyuchenkova
Sabalenka Kuzmova
Kasatkina Boulter
Cornet Savinykh
Li Zhang
Potapova Riske
Babos Bonaventure
Stojanovic Begu
SWilliams Siegemund
Swiatek Rus
Giorgi Shvedova
Ferro Siniakova
Rybakina Zvonareva
Kudermetova Kostyuk
Gracheva Blinkova
Tomljanovic Doi
Halep Cabrera
Barty Gavrilova
Alexandrova Krejcikova
Kontaveit Watson
Rogers Danilovic
Bencic Kuznetsova
Mertens Zhu
Muchova Barthel
KaPliskova Collins
Kanepi Kenin
Vekic Podoroska
Brady Brengle
Juvan Sherif
Pegula Stosur
Mladenovic Hibino
Putintseva Uytvanck
Svitolina Gauff
Hsieh Andreescu
Errani VWilliams
Vondrousova Marino
Cirstea Kvitova
Muguruza Samsonova
Diyas Pera
Jabeur Schmiedlova
Osaka Garcia
Sabalenka Kasatkina
Li Cornet
Potapova Babos
SWilliams Stojanovic
Swiatek Giorgi
Ferro Rybakina
Kudermetova Gracheva
Halep Tomljanovic
Barty Alexandrova
Rogers Kontaveit
Mertens Bencic
Muchova KaPliskova
Vekic Kanepi
Brady Juvan
Pegula Mladenovic
Svitolina Putintseva
Hsieh Errani
Vondrousova Cirstea
Muguruza Diyas
Osaka Jabeur
Sabalenka Li
SWilliams Potapova
Swiatek Ferro
Halep Kudermetova
Barty Rogers
Muchova Mertens
Brady Vekic
Pegula Svitolina
Hsieh Vondrousova
Osaka Muguruza
SWilliams Sabalenka
Halep Swiatek
Muchova Barty
Brady Pegula
Osaka Hsieh
SWilliams Halep
Brady Muchova
Osaka SWilliams
Osaka Brady
enregistrement_tournoi Paris 2021
Barty Pera
Linette Paquet
Sharma Bara
Jabeur Putintseva
Gauff Krunic
QWang Hsieh
Ferro Liang
Brady Sevastova
KaPliskova Vekic
Stephens Suarez
Lepchenko Zhang
Muchova Petkovic
Alexandrova VWilliams
Krejcikova KrPliskova 
Li Gasparyan
Svitolina Babel
Kenin Ostapenko
Baptiste Blinkova
Martincova Jorovic
Pegula Zhu
Sakkari Zavatska
Paolini Voegele
Diyas Watson
Mertens Sanders
Kostyuk Muguruza
Zheng Sorribes
Gracheva Arruabarrena
Giorgi Martic
Kontaveit Golubic
Mladenovic Schmiedlova
Peterson Rogers
Swiatek Juvan
SWilliams Begu
Buzarnescu Rus
Collins XWang
Kalinina Kerber
Rybakina Jacquemot
Hibino Stojanovic
Vesnina Govortsova
Kvitova Minnen
Azarenka Kuznetsova
Tauson Gorgodze
Fernandez Potapova
Keys Dodin
Pavlyuchenkova Mchale
Tomljanovic Kozlova
Sasnovich Parry
Sabalenka Konjuh
Zidansek Andreescu
Brengle Osorio
Siniakova Bouzkova
Kudermetova Anisimova
Cirstea Konta
Trevisan Uytvanck
Kasatkina Doi
Bencic Podoroska
Hercog Bertens
Garcia Siegemund
Tan Cornet
Vondrousova Kanepi
Badosa Davis
Kovinic Burel
Bogdan Cocciaretto
Osaka Tig
Linette Barty
Jabeur Sharma
Gauff QWang
Brady Ferro
Stephens KaPliskova
Muchova Lepchenko
Krejcikova Alexandrova
Svitolina Li
Kenin Baptiste
Pegula Martincova
Sakkari Paolini
Mertens Diyas
Kostyuk Zheng
Gracheva Giorgi
Kontaveit Mladenovic
Swiatek Peterson
SWilliams Buzarnescu
Collins Kalinina
Rybakina Hibino
Vesnina Kvitova
Azarenka Tauson
Keys Fernandez
Pavlyuchenkova Tomljanovic
Sabalenka Sasnovich
Zidansek Brengle
Siniakova Kudermetova
Cirstea Trevisan
Kasatkina Bencic
Hercog Garcia
Vondrousova Tan
Badosa Kovinic
Bogdan Osaka
Jabeur Linette
Gauff Brady
Stephens Muchova
Krejcikova Svitolina
Kenin Pegula
Sakkari Mertens
Kostyuk Gracheva
Swiatek Kontaveit
SWilliams Collins
Rybakina Vesnina
Azarenka Keys
Pavlyuchenkova Sabalenka
Zidansek Siniakova
Cirstea Kasatkina
Vondrousova Hercog
Badosa Bogdan
Gauff Jabeur
Krejcikova Stephens 
Sakkari Kenin
Swiatek Kostyuk
Rybakina SWilliams
Pavlyuchenkova Azarenka 
Zidansek Cirstea
Badosa Vondrousova
Krejcikova Gauff
Sakkari Swiatek
Pavlyuchenkova Rybakina
Zidansek Badosa
Krejcikova Sakkari
Pavlyuchenkova Zidansek
Krejcikova Pavlyuchenkova
enregistrement_tournoi Londres 2021
Barty Suarez
Blinkova Babos
Vandeweghe Govortsova
Siniakova YWang
Kostyuk Bertens
Sevastova Diyas
Petkovic Paolini
Krejcikova Tauson
Azarenka Kozlova
Cirstea Murray
Raducanu Diatchenko
Vondrousova Kontaveit
Kasatkina Tig
Ostapenko Fernandez
Tomljanovic Minnen
Cornet Andreescu
Svitolina Uytvanck
Linette Anisimova
Putintseva Pironkova
Badosa Bolsova
Muchova Zhang
Giorgi Teichmann
KrPliskova Sharma
Pavlyuchenkova Bogdan
Juvan Bencic
Burel Perez
Vesnina Trevisan
Gauff Jones
Kerber Stojanovic
Sorribes Konjuh
Hibino Pera
Sasnovich SWilliams
KaPliskova Zidansek
Vekic Potapova
Podoroska Li
Martincova Riske
Pegula Garcia
Samsonova Kanepi
Ahn Watson
Stephens Kvitova
Mertens Dart
Zhu Barthel
Davis Burrage
Keys Swan
Golubic Kudermetova
Collins Hercog
Brengle McHale
Kenin XWang
Swiatek Hsieh
Zvonareva Bouzkova
Begu Volynets
Martic Gracheva
Jabeur Peterson
VWilliams Buzarnescu
Kerkhove Kuznetsova
Muguruza Ferro
Sakkari Rus
Rogers Stosur
Liu Doi
Rybakina Mladenovic
Alexandrova Siegemund
Osorio Kalinskaya
Boulter Lao
Sabalenka Niculescu
Barty Blinkova
Siniakova Vandeweghe
Sevastova Kostyuk
Krejcikova Petkovic
Cirstea Azarenka
Raducanu Vondrousova
Ostapenko Kasatkina
Tomljanovic Cornet
Linette Svitolina
Badosa Putintseva
Muchova Giorgi
Pavlyuchenkova KrPliskova 
Juvan Burel
Gauff Vesnina
Kerber Sorribes
Sasnovich Hibino
KaPliskova Vekic
Martincova Podoroska
Samsonova Pegula
Stephens Ahn
Mertens Zhu
Keys Davis
Golubic Collins
Brengle Kenin
Swiatek Zvonareva
Begu Martic
Jabeur VWilliams
Muguruza Kerkhove
Rogers Sakkari
Rybakina Liu
Osorio Alexandrova
Sabalenka Boulter
Barty Siniakova
Krejcikova Sevastova
Raducanu Cirstea
Tomljanovic Ostapenko
Badosa Linette
Muchova Pavlyuchenkova
Gauff Juvan
Kerber Sasnovich
KaPliskova Martincova
Samsonova Stephens
Keys Mertens
Golubic Brengle
Swiatek Begu
Jabeur Muguruza
Rybakina Rogers
Sabalenka Osorio
Barty Krejcikova
Tomljanovic Raducanu
Muchova Badosa
Kerber Gauff
KaPliskova Samsonova
Golubic Keys
Jabeur Swiatek
Sabalenka Rybakina
Barty Tomljanovic
Kerber Muchova
KaPliskova Golubic
Sabalenka Jabeur
Barty Kerber
KaPliskova Sabalenka
Barty KaPliskova
afficher_classement
enregistrement_tournoi New-York 2021
Barty Zvonareva
Tauson Burel
Rogers Brengle
Cirstea Kudermetova
Sorribes Muchova
Hsieh Liu
Zhang Baptiste
Raducanu Voegele
Bencic Rus
Trevisan Vandeweghe
Doi Sanders
Pegula Potapova
Kontaveit Stosur
Teichmann Bucsa
Ferro Hibino
Swiatek Loeb
KaPliskova McNally
Anisimova Diyas
Tomljanovic Volynets
Martic Galfi
Badosa Uytvanck
Gracheva Parrizas
Schmiedlova Krueger
Pavlyuchenkova Riske
Kvitova Hercog
KrPliskova Kovinic
Siniakova Sevastova
Sakkari Kostyuk
Minnen Podoroska
Samsonova Boulter
Davis Tomova
Andreescu Golubic
Svitolina Marino
Masarova Bogdan
Vondrousova Ruse
Kasatkina Pironkova
Rybakina Sasnovich
Garcia Dart
Kucova Li
Halep Giorgi
Kerber Yastremska
Kalinina Sherif
Stephens Keys
Gauff Linette
Kanepi Putintseva
Fernandez Konjuh
Danilovic Parks
Osaka Bouzkova
Krejcikova Sharma
McHale Navarro
Rakhimova Mladenovic
Alexandrova Errani
Azarenka Martincova
Paolini Shvedova
Petkovic Begu
Muguruza Vekic
Mertens Peterson
Grammatikopoulou Blinkova
Osorio Jorovic
Jabeur Cornet
Collins Suarez
Juvan Watson
Zidansek Pera
Sabalenka Stojanovic
Barty Tauson
Rogers Cirstea
Sorribes Hsieh
Raducanu Zhang
Bencic Trevisan
Pegula Doi
Kontaveit Teichmann
Swiatek Ferro
KaPliskova Anisimova
Tomljanovic Martic
Gracheva Badosa
Pavlyuchenkova Schmiedlova
Kvitova KrPliskova
Sakkari Siniakova
Minnen Samsonova
Andreescu Davis
Svitolina Masarova
Kasatkina Vondrousova
Rybakina Garcia
Halep Kucova
Kerber Kalinina
Stephens Gauff
Fernandez Kanepi
Osaka Danilovic
Krejcikova McHale
Rakhimova Alexandrova
Azarenka Paolini
Muguruza Petkovic
Mertens Grammatikopoulou
Jabeur Osorio
Collins Juvan
Sabalenka Zidansek
Rogers Barty
Raducanu Sorribes
Bencic Pegula
Swiatek Kontaveit
KaPliskova Tomljanovic
Pavlyuchenkova Gracheva
Sakkari Kvitova
Andreescu Minnen
Svitolina Kasatkina
Halep Rybakina
Kerber Stephens
Fernandez Osaka
Krejcikova Rakhimova
Muguruza Azarenka
Mertens Jabeur
Sabalenka Collins
Raducanu Rogers
Bencic Swiatek
KaPliskova Pavlyuchenkova
Sakkari Andreescu
Svitolina Halep
Fernandez Kerber
Krejcikova Muguruza
Sabalenka Mertens
Raducanu Bencic
Sakkari KaPliskova
Fernandez Svitolina
Sabalenka Krejcikova
Raducanu Sakkari
Fernandez Sabalenka
Raducanu Fernandez
afficher_classement
exit
